t[s],q_BodyPitch,q_BodyRoll,q_BodyYaw,q_ALShoulder1,q_ALShoulder2,q_ALShoulder3,q_ARShoulder1,q_ARShoulder2,q_ARShoulder3,q_LLHip1,q_LLHip2,q_LLHip3,q_LLKnee,q_LLAnkleRoll,q_LLAnklePitch,q_LRHip1,q_LRHip2,q_LRHip3,q_LRKnee,q_LRAnkleRoll,q_LRAnklePitch,qd_BodyPitch,qd_BodyRoll,qd_BodyYaw,qd_ALShoulder1,qd_ALShoulder2,qd_ALShoulder3,qd_ARShoulder1,qd_ARShoulder2,qd_ARShoulder3,qd_LLHip1,qd_LLHip2,qd_LLHip3,qd_LLKnee,qd_LLAnkleRoll,qd_LLAnklePitch,qd_LRHip1,qd_LRHip2,qd_LRHip3,qd_LRKnee,qd_LRAnkleRoll,qd_LRAnklePitch,qdd_BodyPitch,qdd_BodyRoll,qdd_BodyYaw,qdd_ALShoulder1,qdd_ALShoulder2,qdd_ALShoulder3,qdd_ARShoulder1,qdd_ARShoulder2,qdd_ARShoulder3,qdd_LLHip1,qdd_LLHip2,qdd_LLHip3,qdd_LLKnee,qdd_LLAnkleRoll,qdd_LLAnklePitch,qdd_LRHip1,qdd_LRHip2,qdd_LRHip3,qdd_LRKnee,qdd_LRAnkleRoll,qdd_LRAnklePitch,Tau_BodyPitch,Tau_BodyRoll,Tau_BodyYaw,Tau_ALShoulder1,Tau_ALShoulder2,Tau_ALShoulder3,Tau_ARShoulder1,Tau_ARShoulder2,Tau_ARShoulder3,Tau_LLHip1,Tau_LLHip2,Tau_LLHip3,Tau_LLKnee,Tau_LLAnkleRoll,Tau_LLAnklePitch,Tau_LRHip1,Tau_LRHip2,Tau_LRHip3,Tau_LRKnee,Tau_LRAnkleRoll,Tau_LRAnklePitch
0.0,0.2,0.0,0.0,-0.25,0.1,0.0,0.25,-0.1,0.0,0.0,0.0,-0.33,0.63,0.0,-0.3,0.0,0.0,-0.33,0.63,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.11810489650845,0.011710407759439379,0.02148026092074612,-6.095006195718174,1.955662877406071,0.207252246397083,6.11195835310297,-1.9674769613321859,-0.208019875090548,0.0201602777507901,0.003477216737157285,-23.692849381279995,61.02919209293715,0.003806958638300273,-28.58518433622379,0.020160235439028895,0.003477263597250868,-23.701878882751437,61.01628112330913,0.003806905360946189,-28.57367960568922,10.972849100555676,0.006679318395208442,0.020795448409734,2.3529574166023965,0.19692442329426388,-0.08093522764855145,-2.3261637529843497,-0.18298828350945445,0.08007282816604,-0.00391014244710479,0.002873664405062639,-4.246421257420467,-5.518816753401322,0.006520364649075161,-3.654398445509309,-0.00391010116986814,0.0028736811739685595,-4.2362967831453044,-5.529510405176409,0.006520395099922528,-3.659436823916999
0.01,0.20181181048965086,1.1710407759439378e-06,2.148026092074612e-06,-0.2506095006195718,0.10019556628774061,2.0725224639708303e-05,0.2506111958353103,-0.10019674769613322,-2.08019875090548e-05,2.0160277750790103e-06,3.477216737157285e-07,-0.332369284938128,0.6361029192092937,3.806958638300273e-07,-0.3028585184336224,2.0160235439028895e-06,3.477263597250868e-07,-0.33237018788827516,0.636101628112331,3.806905360946189e-07,-0.3028573679605689,0.1811810489650845,0.00011710407759439378,0.0002148026092074612,-0.060950061957181736,0.01955662877406071,0.00207252246397083,0.061119583531029704,-0.01967476961332186,-0.0020801987509054803,0.00020160277750790102,3.477216737157285e-05,-0.23692849381279996,0.6102919209293716,3.806958638300273e-05,-0.2858518433622379,0.00020160235439028895,3.477263597250868e-05,-0.23701878882751437,0.6101628112330912,3.806905360946189e-05,-0.28573679605689223,8.327768419170411,-0.005490749539948325,0.0038477500904554596,0.9289130139276551,-0.5191007542260522,-0.028515905977086642,-0.92189143754144,0.53188363181614,0.028323158030916562,-0.0009484577107272685,0.004299387216141426,-1.915514504192771,15.184289719987788,-0.002338896208257779,-8.344441923324439,-0.000948445282826782,0.004299331169823173,-1.9134795279220214,15.181339702805474,-0.002338876911043286,-8.343035926669472,-5.999669451643667,0.0056705142782878274,0.01602916918242469,2.1832655506039194,0.20713988880444903,-0.07674263181518358,-2.168151419932994,-0.20165257593329206,0.07615980371889497,-0.005245769745680869,-0.0029664123928776773,-2.5059130905626867,-34.11193564291421,0.005642796822531451,-12.438631167490607,-0.005245755743790857,-0.0029664037434660854,-2.499529186459459,-34.11525929732704,0.005642814959697454,-12.438976004372792
0.02,0.20445639782121874,1.793006597893043e-06,4.680827193194769e-06,-0.25112610993775086,0.10033922250005861,3.859885868170794e-05,0.2511302025268664,-0.10034030702908482,-3.8771659215017946e-05,3.937209779085294e-06,1.1253820690455997e-06,-0.33493012132667527,0.6437242673905862,5.275021068342767e-07,-0.3065514810595772,3.937202559523101e-06,1.125385836432491e-06,-0.3349317237293425,0.6437213901949425,5.274933810849092e-07,-0.30654903951380474,0.2644587331567886,6.219658219491054e-05,0.0002532801101120158,-0.05166093181790518,0.014365621231800189,0.0017873634041999636,0.0519006691556153,-0.01435593329516046,-0.0017969671705963146,0.00019211820040062835,7.776603953298711e-05,-0.2560836388547277,0.7621348181292494,1.468062430042494e-05,-0.3692962625954823,0.00019211790156202114,7.776594767074042e-05,-0.2561535841067346,0.761976208261146,1.468028449902903e-05,-0.36916715532358696,3.201050200551279,-0.006570975140945179,0.0031451830183187868,0.979865627513691,-0.4983753121102805,-0.03252523829291787,-0.976470965288426,0.5037505283144141,0.03237649138856413,-0.001341504969872176,0.002893782440617443,-0.7645730989727895,2.2790944549965957,-0.0022438022846245076,-1.1702337458739862,-0.0013414617137614826,0.0028937556743828807,-0.7633995184701234,2.2784384120576533,-0.0022437850337730936,-1.1700568789752879,-11.368997577126603,0.014366129612704769,0.0128307720510888,1.2312059874460421,0.7564884306622972,-0.04557865444755682,-1.2206895057032496,-0.760629957695097,0.04516440158263849,-0.003781844151057504,-0.006808104942922616,-1.6339807677553226,-39.860020434856985,0.006653795386753473,-8.598471826844916,-0.0037818609678781506,-0.0068080989018618554,-1.6310337911546013,-39.858642458661876,0.006653801609273247,-8.600839144235886
0.03,0.20742109017284177,1.7578749057476307e-06,7.528146596146806e-06,-0.25154473269317856,0.10043304118116558,5.321996889441578e-05,0.2515515621218937,-0.10043349130920498,-5.350368178212468e-05,5.72424128610436e-06,2.1924207084372152e-06,-0.33756741502511983,0.6515735250173783,4.499281213760753e-07,-0.3103614670601194,5.7242354037671645e-06,2.1924208805781833e-06,-0.33756959952225685,0.6515689961187596,4.499177226978901e-07,-0.3103577167549381,0.2964692351623014,-3.5131692145412558e-06,0.00028473194029520366,-0.04186227554276827,0.009381868110697383,0.001462111021270785,0.04213595950273104,-0.009318428012016319,-0.0014732022567106734,0.0001787031507019066,0.00010670386393916154,-0.26372936984445555,0.7849257626792154,-7.757398545820136e-06,-0.3809986000542222,0.0001787032844244063,0.00010670350441456923,-0.26378757929143587,0.7847605923817225,-7.757565838701907e-06,-0.38086772411333986,2.1264451916290668,-0.004877943322009082,0.0022386273321573225,0.6706701683014291,-0.30508069414177563,-0.02249818062690012,-0.6683642512181969,0.30552345088794386,0.022387255326628774,-0.0010261277481404818,0.0017192599750859294,-0.538634592028302,0.39658196052215544,-0.001417612872451457,-0.1725627708372599,-0.0010260786861491233,0.001719236360589127,-0.5379074299854096,0.3964441410784616,-0.0014175941680623083,-0.17262096211311473,-13.999053492110356,0.022021825267833816,0.010666212616110848,0.5006466626446904,1.1334366439797057,-0.021103456620968658,-0.49274501013417993,-1.139847498150039,0.02081243269107192,-0.0024876052510308523,-0.008929051331287501,-0.710540030359032,-40.62177249735615,0.006676825184084365,-7.580605710362045,-0.0024876530519209175,-0.008929047543798628,-0.710261972631298,-40.6171007759241,0.006676819920062868,-7.584267794989377
0.04,0.2105984270436277,1.23494888140131e-06,1.0599328732314574e-05,-0.2518962884317761,0.10049635179285837,6.559126104443362e-05,0.2519060852917992,-0.10049612324423635,-6.599697881656854e-05,7.4086600183093774e-06,3.4313853453374236e-06,-0.3402585721827672,0.6594624408402227,2.3059284867272821e-07,-0.31418870933774534,7.408660379396315e-06,3.4313795607827883e-06,-0.34026126605816975,0.6594562464566847,2.3058264750464016e-07,-0.3141836560922828,0.31773368707859206,-5.2292602434632074e-05,0.0003071182136167769,-0.03515557385975398,0.0063310611692796274,0.0012371292150017837,0.03545231699054907,-0.00626319350313688,-0.0012493297034443856,0.0001684418732205018,0.00012389646369002084,-0.2691157157647386,0.788891582284437,-2.1933527270334705e-05,-0.3827242277625948,0.00016844249756291506,0.0001238958680204605,-0.26916665359128994,0.7887250337925071,-2.193350751932499e-05,-0.382593933734471,1.6870863047927926,-0.0035267721291630805,0.0015922891064148459,0.4576593835001077,-0.18141708698361714,-0.015400370219896709,-0.45594408461034064,0.18043301063962258,0.01531975232525462,-0.0007193657099584527,0.0011652301674978105,-0.3959479752257664,0.0921881582476658,-0.0009455736902594936,-0.07791632209287513,-0.0007193171649149122,0.0011652073653980466,-0.3954946466313345,0.09219063213242862,-0.000945554976880203,-0.07799976519447682,-15.879656568865292,0.02821379324855335,0.009349981280540178,-0.004123959705627724,1.3595930908706653,-0.004082593188581992,0.010131123390484827,-1.3653714132023467,0.00388181009039581,-0.0016024558542667322,-0.01024609678119093,0.10589512988767726,-40.58581517289344,0.005970168254958375,-6.951499313278962,-0.0016025309491695665,-0.010246095457521231,0.10388659648704399,-40.57809161356479,0.005970152588670606,-6.956384825685004
0.05,0.21394447254489288,3.593456441386812e-07,1.3829739779123828e-05,-0.2522020782320236,0.10054152069585282,7.642251617246178e-05,0.25221501405324365,-0.10054071187820375,-7.695830061848694e-05,9.02114217951855e-06,4.786872998987413e-06,-0.3429893241379372,0.6673605754788918,-8.329979305656817e-08,-0.3180237432475806,9.021153638533974e-06,4.786858977527198e-06,-0.3429924820587458,0.667352715857823,-8.330792537663004e-08,-0.318017395406147,0.33460455012652,-8.756032372626287e-05,0.0003230411046809253,-0.0305789800247529,0.004516890299443456,0.0010831255128028166,0.030892876144445663,-0.004458863396740654,-0.0010961321801918394,0.00016124821612091726,0.00013554876536499895,-0.27307519551699627,0.7898134638669136,-3.138926417292964e-05,-0.38350339098352354,0.00016124932591376595,0.00013554794167444097,-0.2731216000576033,0.7896469401138314,-3.138905728812702e-05,-0.38337393138641573,1.4107152934507,-0.002569921247044138,0.001184584226929991,0.30582681480285423,-0.10780451238865285,-0.010309722150255607,-0.3045832427048083,0.10670907675642072,0.010253110095877704,-0.0004999832100338608,0.000868590675693115,-0.2830756210643415,0.046323117369752254,-0.0006922063861338756,-0.11643351943493485,-0.0004999341587499373,0.0008685677784674439,-0.28281432595184697,0.04640320888029237,-0.0006921872995775402,-0.11651610780823773,-17.402634752887106,0.03341177978584239,0.008617753867722002,-0.36350461750420193,1.4991253044943056,0.008072232076561877,0.3681026996955096,-1.5036166247016864,-0.008207969300600481,-0.0010343467392034573,-0.011186750055825949,0.8136026851688061,-40.428394784915575,0.004841291842855781,-6.336063248049708,-0.001034445155633094,-0.011186750634421615,0.8095294298015343,-40.41764032972018,0.004841266583113045,-6.34220900391082
0.06,0.21743158957550315,-7.732497178283615e-07,1.717860924862608e-05,-0.25247728535079084,0.10057590914760839,8.622279908546439e-05,0.25249348449041764,-0.10057462960449552,-8.689431141081756e-05,1.0583626019724337e-05,6.229219720206714e-06,-0.3457483836552136,0.675263342429298,-4.6641307339925214e-07,-0.3218704205093593,1.058365348179664e-05,6.229195172118352e-06,-0.345751979491917,0.6752538255798493,-4.6641722821565424e-07,-0.32186278633079196,0.348711703061027,-0.00011325953619670425,0.0003348869469502252,-0.027520711876724356,0.0034388451755569278,0.0009800282913002606,0.02784704371739758,-0.0033917726291764465,-0.0009936010792330624,0.00015624838402057865,0.0001442346721219301,-0.2759059517276397,0.7902766950406112,-3.8311328034268395e-05,-0.38466772617787287,0.00015624998432626656,0.00014423361945911542,-0.27594974331712174,0.7901109722026344,-3.8310930283902426e-05,-0.38453909246449813,1.2068506860501316,-0.0018491990243483247,0.0009381011907320796,0.18590927915069777,-0.060430214602708476,-0.006286496525654051,-0.18505195994699797,0.05958603381899685,0.0062485321016524376,-0.00034587076394920757,0.0006788041534258049,-0.18934299141048427,0.04438965201211431,-0.0005473301860803303,-0.16511008324432908,-0.0003458206394881813,0.000678780857435779,-0.18922987573961336,0.04454369041695827,-0.0005473105086437613,-0.16519821400288492,-18.705230479483543,0.03794973930605642,0.008274006830500892,-0.6297652338374513,1.5909435935986782,0.017100995565274214,0.6333357704713691,-1.5941974347430292,-0.017190407455904406,-0.0006847494618000095,-0.011930565828444794,1.4383285336351959,-40.261699907690875,0.0034501493388666856,-5.692837527966723,-0.000684867583109419,-0.011930567191243,1.4323273108027141,-40.24789562590506,0.003450114957473466,-5.700286103123702
0.07,0.22103939167471845,-2.0907649822302365e-06,2.062128883720154e-05,-0.252733901541643,0.10060425457790369,9.539443234590158e-05,0.2527534497315969,-0.10060258872740539,-9.620546899298294e-05,1.2111522783535203e-05,7.739446856768597e-06,-0.34852637747163107,0.6831705483449053,-9.042593723499691e-07,-0.3257336087794625,1.2111571261110488e-05,7.739409452453085e-06,-0.34853039991266216,0.6831593896709173,-9.042575819190546e-07,-0.3257246970768372,0.3607802099215283,-0.0001317515264401875,0.00034426795885754603,-0.02566161908521738,0.002834543029529843,0.00091716332604372,0.0259965241179276,-0.002795912290986478,-0.000931115758216538,0.00015278967638108657,0.00015102271365618816,-0.27779938164174456,0.7907205915607323,-4.3784629895071696e-05,-0.38631882701031617,0.00015279177793138475,0.0001510214280334732,-0.2778420420745179,0.7905564091068039,-4.378403537034004e-05,-0.386191074604527,1.0434571787705735,-0.0012691646833143944,0.0007949921949837874,0.08289952633325903,-0.02604297861784688,-0.0028323347175730484,-0.08235227639580067,0.025510139481691008,0.0028089167439613316,-0.00023423003952149912,0.0005395537289533681,-0.10774162375710716,0.05003324507333673,-0.00046029175084605356,-0.2079040645583099,-0.00023417869192243757,0.0005395299182477942,-0.10775123044248858,0.05026710530898981,-0.00046027141623028456,-0.2080070847324187,-19.873105683991486,0.04204295334519826,0.008186346715743835,-0.8393228566866162,1.6570531275336458,0.024225573374015753,0.8421480002791382,-1.6592661114131249,-0.02428178128548097,-0.00048123977945036575,-0.0125632597126295,2.0081256473803015,-40.10460265276508,0.001881812563636127,-5.033347673055398,-0.0004813743951396232,-0.0125632604338761,2.000280699153498,-40.087725252863066,0.0018817692824824484,-5.042130981276487
0.08,0.2247515394918108,-3.535196714963551e-06,2.4143467645275378e-05,-0.25298222777986185,0.1006299957103372,0.00010428283213458147,0.2530051797451366,-0.10062799683636708,-0.00010523573490075218,1.3615996543393918e-05,9.303629366225814e-06,-0.35131514545042425,0.69108275758502,-1.3881348463852914e-06,-0.3296175874560215,1.3616071171232092e-05,9.303576724612596e-06,-0.3513195954564516,0.6910699804725162,-1.3881250772454834e-06,-0.32960740853135573,0.37121478170923405,-0.00014444317327333143,0.0003522178808073839,-0.024832623821884788,0.0025741132433513745,0.0008888399788679896,0.025173001353969594,-0.002540810896169568,-0.0009030265907769247,0.0001504473759858716,0.00015641825094572185,-0.27887679787931563,0.7912209240114656,-4.8387547403532235e-05,-0.3883978676558993,0.00015044999101216036,0.00015641672721595115,-0.2789195543789428,0.7910590801598938,-4.838674953264288e-05,-0.3882711454518512,0.8991992248287985,-0.0007754216036967576,0.0007161816720934744,-0.012922996370844153,0.0024954964548404845,0.000379038868737247,0.013216993207800343,-0.002733561167220566,-0.00039066428443435,-0.00014907375035178028,0.0004273094138314282,-0.03172172323115774,0.05665335780827263,-0.00040678317269282616,-0.24666269439427424,-0.00014902119310633566,0.0004272850428419517,-0.03183887712768296,0.05697242882223463,-0.00040676218647206497,-0.24678745868681062,-20.97624879844576,0.04584579495265291,0.008261858979295015,-1.0219347993166124,1.7111047251824199,0.03044474739171499,1.0242031351443925,-1.7124560400485132,-0.030476197087358502,-0.0003708057753118145,-0.013135864978986844,2.5490600923485482,-39.96020647211266,0.00018922107971644042,-4.376020659948326,-0.00037095408690446735,-0.013135863499719593,2.539418561062086,-39.94023356321203,0.0001891689342588697,-4.386160055537323
0.09,0.228553607231386,-5.057170608066541e-06,2.7737264620558564e-05,-0.2532318463177178,0.1006559863924162,0.00011320913581013509,0.2532582314579971,-0.1006536783014455,-0.00011430506723696487,1.5105562928217456e-05,1.0910542817066175e-05,-0.3541070856015405,0.6990006321609155,-1.912688637689896e-06,-0.3335262324020199,1.5105668962043061e-05,1.0910472501056302e-05,-0.35411197488795376,0.6989862685169974,-1.9126687912191184e-06,-0.33351479873174295,0.38020677395752206,-0.000152197389310299,0.00035937969752831864,-0.02496185378559323,0.0025990682078997794,0.0008926303675553621,0.025305171286047597,-0.0025681465078417737,-0.0009069332336212682,0.0001489566384823538,0.00016069134508403613,-0.2791940151116272,0.7917874575895483,-5.24553791304605e-05,-0.390864494599842,0.00014895977908109702,0.00016068957764437067,-0.2792379431502196,0.7916288044481161,-5.245437139736353e-05,-0.3907390200387193,0.7551898080160839,-0.00033146888807988883,0.0006732085444864228,-0.10979636347449517,0.029498576863299375,0.0036242488696676123,0.10987008117359309,-0.029466869846242805,-0.003625570911452325,-7.860950227778218e-05,0.0003295679210389979,0.04507734575059885,0.0627288006468234,-0.00037241100112872516,-0.2861778689239429,-7.855583649529763e-05,0.00032954295736242756,0.04486086269864131,0.06313624505776261,-0.00037238941698092276,-0.28632815280883506,-22.079180892338172,0.04948174193404265,0.008430386079283562,-1.2049975294924935,1.762982796450052,0.036676997359489705,1.206814222284935,-1.7635940397062468,-0.03668820377375516,-0.0003121077229513705,-0.013685355849891896,3.0858060194336168,-39.82906341034973,-0.0015891838989040155,-3.7395407477940488,-0.00031226740527958856,-0.013685350593422345,3.0743857267604016,-39.8059729076046,-0.0015892450674724749,-3.7510493573206953
