t[s],X,Y,Z,Qx,Qy,Qz,Qw,vx,vy,vz,wx,wy,wz,vxd,vyd,vzd,wxd,wyd,wzd
0.0,0.0,0.0,0.87955,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4650238591731508,0.6197660148400002,1.1182571413676037,0.4946285300071196,0.3528135544583648,0.11298103680264404
0.03,0.0004186529145923381,0.0005575866731344539,0.8805564890905638,0.00022258283563430953,0.00015876609745991074,5.0841465905888654e-05,0.9999999613326757,0.013950715775194524,0.018592980445200004,0.033547714241028107,0.014838855900213587,0.010584406633750943,0.003389431104079321,0.18783712367345728,0.32965450198850466,-0.02052296636756168,-0.2051588830830724,-0.04604172877746038,0.08743000813687019
0.06,0.00100651402153476,0.0014116093376975265,0.8815446736657802,0.00035285146562765823,0.00029679995820820483,0.000141036476734613,0.9999998837571633,0.01958582948539824,0.028482615504855143,0.03293202525000126,0.008684089407721415,0.009203154770427132,0.006012331348185427,0.04693159039847927,0.2666337320558889,-0.038642629671165274,-0.1823410209721601,-0.08298250559359843,0.05502848955553574
0.09,0.001636554789514268,0.0025055894889964886,0.8824982436789732,0.0004010792503590969,0.0003974713758731188,0.00025600547747073,0.9999998078065494,0.02099377719735262,0.03648162746653181,0.0317727463598663,0.0032138587785566124,0.006713679602619179,0.007663186034851499,-0.001321004649396329,0.20359615484721427,-0.03669121052892965,-0.1501991968411307,-0.06674370355970183,0.03337199279803471
0.12,0.0022651556582236098,0.0037829579373955128,0.8834188599429446,0.00038173105819125586,0.0004680847968662838,0.00038600668461812526,0.9999997430883978,0.02095414705787073,0.04258951211194824,0.030672010043998412,-0.0012921171266773081,0.004711368495828124,0.008664345818792541,-0.015178143967320423,0.11112551673324966,-0.03388396417253592,-0.1026571241911256,-0.052014240161398106,0.021022962770520515
0.15,0.002879739040652703,0.005160595569849303,0.8843088816534335,0.0003162006262793182,0.0005152703614146604,0.0005254809017055564,0.9999996791916688,0.020498802738851116,0.045923277613945726,0.029655491118822333,-0.004371830852411076,0.0031509412909861804,0.009295034701908157,-0.017482053654253704,0.04434492234623766,-0.03168179921655501,-0.062037222768683176,-0.041785250084622305,0.009235856799350906
0.18,0.0034781875909813864,0.006578455529453544,0.8851701627615691,0.0002227654667290139,0.0005436365711633113,0.0006691196771895204,0.9999996035567629,0.019974341129223503,0.047253625284332856,0.02870503714232568,-0.006232947535471571,0.0018973837884475114,0.009572110405888684,-0.015908373655262764,0.00578177575636879,-0.0299073168920021,-0.033075816430267746,-0.03449849527601856,-0.0008025057834343263
0.21,0.004061909579476993,0.008001852263025752,0.8860042343792656,0.000114456380137396,0.0005564685684427662,0.0008124019374886399,0.99999950862266,0.01949708991956562,0.04742707855702392,0.02780781763556562,-0.007225222028379603,0.0008624289301669547,0.009548035232385654,-0.013588407977453087,-0.01672257599468341,-0.028329884913185666,-0.012811708549229195,-0.028755782105577055,-0.007707555478147832
0.24,0.0046330074513982016,0.009410530609475096,0.8868124973243234,3.906063545772323e-07,0.0005563561653870785,0.0009522175002593015,0.9999993918745634,0.019089437680242027,0.046925401277183414,0.02695792108817005,-0.007609573284856479,-2.445330003568967e-07,0.00931680856804122,-0.011487368426227107,-0.029291809444562,-0.026946133476700496,0.0008099501481844129,-0.024182153458845335,-0.011891744990669029
0.27,0.005193398010519458,0.010793163119342683,0.8875962089168095,-0.00011330330534395747,0.0005453621313847219,0.0010866815437476026,0.9999992544325866,0.018744816627455214,0.04604664699384655,0.026149537083869037,-0.007585274780410947,-0.0007257091367657169,0.008960056218321149,-0.009849394100189812,-0.03539686433267253,-0.025738096741023675,0.009421809468223685,-0.020546357695742756,-0.014064294763778129
