Cx,Cy,Cz,ZMPx,ZMPy,CoPx_FL,CoPy_FL,CoPx_FR,CoPy_FR,X_FL_SupportCenter,Y_FL_SupportCenter,Z_FL_SupportCenter,Qx_FL_SupportCenter,Qy_FL_SupportCenter,Qz_FL_SupportCenter,Qw_FL_SupportCenter,X_FR_SupportCenter,Y_FR_SupportCenter,Z_FR_SupportCenter,Qx_FR_SupportCenter,Qy_FR_SupportCenter,Qz_FR_SupportCenter,Qw_FR_SupportCenter
0.11281145440470158,3.011173810068624e-05,1.0894997549088035,0.11623259793703113,-0.0010995872490399921,0.11344531836906034,0.09040581596318234,0.11712868842953707,-0.13044854954237367,0.11216814241496129,0.11044930982474357,-6.117848699860318e-06,4.703121573129423e-06,-1.8366083722132907e-06,-5.3839960891766065e-06,0.9999999999727603,0.11216814241496066,-0.11043069017525643,-6.1178486998741954e-06,4.7031215731238906e-06,-1.8366083718524683e-06,-5.3839960890720115e-06,0.9999999999727603
0.11281575179702913,0.00044580894387070415,1.0904634533689248,0.11882063093253291,-0.004373354203702234,0.11438008569206363,0.090419652992825,0.11711006211191737,-0.13044242681773224,0.11216781191549918,0.11044848499186771,5.724022825170927e-07,5.102293699297302e-06,-1.9131059501183323e-06,-4.039171096642026e-06,0.9999999999769961,0.1121678450923202,-0.11043143839851564,-5.871242940991284e-07,5.059383976013568e-06,-1.9131564923003294e-06,-4.149205078692375e-06,0.9999999999767635
0.11284242761260665,0.0011826592061836168,1.0914457877233403,0.11533670808361002,-0.0041231571412108006,0.11613098481012174,0.0904357548445699,0.11741343053039793,-0.1304340594559183,0.11216796178147696,0.11044887498521225,-4.5788783709782566e-06,4.946444079410838e-06,-1.8970856010596938e-06,-4.5894271423171216e-06,0.9999999999754358,0.11216794104284175,-0.1104311311870524,-4.368532946844028e-06,4.934824815036755e-06,-1.8973485271434346e-06,-4.607675978306247e-06,0.9999999999754087
0.11285653495572319,0.0021957017341801893,1.0924112101153787,0.11390536780313623,-0.0027723453843010743,0.11596996731792505,0.09044714756617211,0.11675827321387569,-0.12504098074506825,0.11216840867160968,0.11044969615131443,-1.140940797113299e-05,4.540683943561696e-06,-1.8288174709467304e-06,-5.99833160747499e-06,0.9999999999700291,0.11216834043329992,-0.11043039844257586,-9.969606198284575e-06,4.585586830576824e-06,-1.8285054595842907e-06,-5.849488787246949e-06,0.9999999999707064
0.11285036645601261,0.0034308207068050735,1.093352184241126,0.11326605657683989,-0.0008924674019717333,0.11520711176746593,0.09699644830955553,0.11585145218330732,-0.11783996243375898,0.11216886525531167,0.11045077275078863,-1.836160114188079e-05,3.9855485588860705e-06,-1.713471260489727e-06,-7.91098143050803e-06,0.9999999999592982,0.1121687899115632,-0.11042937996643479,-1.6179123585549626e-05,4.08356246183486e-06,-1.712086423810537e-06,-7.616190277030074e-06,0.9999999999611937
0.11282572402218455,0.004809937026976029,1.0942668847298611,0.11291925521260328,0.0014390612960438762,0.11439507932103134,0.10398544240535523,0.11492064459278942,-0.1123158960658861,0.11216919335175282,0.11045203528152,-2.5253196706209735e-05,3.316656587818555e-06,-1.5539996642498084e-06,-1.0211250740580872e-05,0.9999999999411578,0.11216915479171741,-0.1104281329688974,-2.2822923895965408e-05,3.443833727475334e-06,-1.5517386988162262e-06,-9.868359967445397e-06,0.9999999999441741
0.11278697843792242,0.006269555627224088,1.0951550316861327,0.11269770630585464,0.0038879728837954803,0.1136878102761595,0.10886259489915663,0.11407053673609882,-0.10793894815312813,0.11216941570449022,0.11045337352449765,-3.201664574901952e-05,2.5933489076299688e-06,-1.3721287023179625e-06,-1.271392436902829e-05,0.9999999999148742,0.11216944844159348,-0.11042677103975841,-2.9716945844429632e-05,2.7232083379723927e-06,-1.369722249082097e-06,-1.2423551006648973e-05,0.999999999918182
0.11273870374279635,0.007766478390012221,1.0960169553130121,0.11252958523228454,0.0062373941530843744,0.11310865845899144,0.11234057001479629,0.11334207162261388,-0.1044869625353306,0.11216958292162296,0.11045470813313091,-3.860300969839303e-05,1.860736930215594e-06,-1.1864384641982694e-06,-1.52747827987413e-05,0.9999999998809058,0.1121697089630514,-0.11042538600005755,-3.668504698593755e-05,1.9737079147497436e-06,-1.1847880579253497e-06,-1.5108345441960213e-05,0.9999999998832196
0.11268484849280849,0.009271556875302742,1.0968532702901213,0.11239089359210047,0.008412983782035735,0.1126466760450771,0.11484926876206203,0.11274501235920197,-0.10179751674244468,0.11216972794119005,0.11045600119306317,-4.499347243491769e-05,1.143649122785092e-06,-1.0068747144874728e-06,-1.7811501378103703e-05,0.9999999998402146,0.11216995876158703,-0.11042402829515802,-4.36112741705047e-05,1.2275810847658407e-06,-1.0068569160998324e-06,-1.7812943403968198e-05,0.9999999998400894
0.11262856242484687,0.010765791390729114,1.0976646894656696,0.11227305641040779,0.010401799696930027,0.11228442856952589,0.11667190894322767,0.11227415142594986,-0.09972962218993106,0.11216986946404034,0.1104572361513342,-5.118773208356853e-05,4.549651902964661e-07,-8.381625456528126e-07,-2.0279480537758714e-05,0.9999999997939168,0.11217020892477478,-0.11042272396379088,-5.0425087883373965e-05,5.036978271907436e-07,-8.405308140435615e-07,-2.0471319808606542e-05,0.9999999997899828
0.11257223465751506,0.012237607633669299,1.098451950705986,0.11217269507957754,0.012216907070110057,0.11200513126764007,0.11800637037946779,0.1119169274852166,-0.09815466088219148,0.11217001721997473,0.11045840690633171,-5.719415984879739e-05,-1.9922498163013372e-07,-6.821265936627814e-07,-2.2656082137737758e-05,0.9999999997430988,0.11217046406680639,-0.11042148532186179,-5.708555199397669e-05,-1.8757892830139356e-07,-6.874748434716362e-07,-2.304549635027393e-05,0.999999999734199
0.11251759708059261,0.013680823555347162,1.099215781831742,0.11208798975319705,0.01388140050464325,0.11179419047328555,0.11899585529288484,0.11165777829944773,-0.09695687921547234,0.11217017541818187,0.1104595126636325,-6.302443177767791e-05,-8.168308080877868e-07,-5.390032777065326e-07,-2.4931908625235018e-05,0.9999999996887213,0.11217072518209754,-0.11042031674442435,-6.357112236818341e-05,-8.414145754597621e-07,-5.477674046970436e-07,-2.551599174079919e-05,0.9999999996739632
0.11246583890693873,0.015093085443264848,1.0999568833357143,0.1120174708095897,0.01542106843001996,0.11163915135995962,0.11974595258801085,0.11148059685959459,-0.09603548434758266,0.11217034494106594,0.11046055543876317,-6.86908236673528e-05,-1.3981437741027006e-06,-4.08185364437156e-07,-2.7105648977288296e-05,0.9999999996315814,0.11217099132853559,-0.11041921792486425,-6.987306027950169e-05,-1.4565486965278845e-06,-4.2066509704524487e-07,-2.7875560772941947e-05,0.9999999996103276
